,Name of book,Year of relase,Price,Category,Rating
91,Математические алгоритмы для программистов,2023,18 901,"Питер, Прогресс книга, Библиотека программиста",4.0
92,Основы Python для Data Science,2023,11 496,"Питер, Прогресс книга, Библиотека программиста",4.0
93,Теоретический минимум по Computer Science.,2022,5 008,"Питер, Библиотека программиста",4.5
94,"Измеряйте самое важное. Как Google, Intel и другие компании добиваются роста с помощью OKR",2018,10 373,"Манн, Иванов и Фербер, Бизнес",4.5
95,Компьютерные сети,2019,12 800,"Питер, Классика Computer Science",3.6
96,"Путь клиента. Создаем ценность продуктов и услуг через карты путей, блупринты и другие инструменты",2022,11 564,"Манн, Иванов и Фербер",5.0
97,Софт за 30 дней,2017,9 660,"Манн, Иванов и Фербер, Бизнес",4.3
98,"Учимся создавать сайты, приложения и игры",2018,7 561,"Питер, Вы и ваш ребенок",4.8
99,Хакинг. Искусство эксплойта,2022,10 739,"Прогресс книга, Питер, Библиотека программиста",3.2
100,Site Reliability Engineering,2021,12 922,"Прогресс книга, Бестселлеры O`Reilly",5.0
101,Простой Python,2022,11 110,"Питер, Бестселлеры O`Reilly",3.6
102,Python. Быстрый старт,2022,5 857,"Питер, Библиотека программиста",3.5
103,Масштабируемые данные,2022,14 620,"Питер, Бестселлеры O'Reilly",4.1
104,Знакомство с Python,2023,11 650,"Питер, Прогресс книга, Библиотека программиста",3.7
105,Kotlin,2023,15 546,"Прогресс книга, Питер, Для профессионалов",3.1
106,iPhone 4S,2012,6 802,"Манн, Иванов и Фербер",4.9
107,Новый iPad. Исчерпывающее руководство,2012,7 450,"Манн, Иванов и Фербер, МИФ. Кругозор",5.0
108,"Прогейминг, Overwatch, киберспорт",2021,6 259,"Манн, Иванов и Фербер, Пиксельный мир",3.8
109,"Машина, платформа, толпа",2019,32 408,"Манн, Иванов и Фербер, Искусственный интеллект (Библиотека Сбера)",4.4
110,Head First. Паттерны проектирования,2022,11 565,"Питер, Head First O'Reilly",4.1
111,Go. Идиомы и паттерны проектирования,2022,15 353,"Прогресс книга, Бестселлеры O'Reilly",4.9
112,Геймдизайн,2021,10 478,Альпина Паблишер,3.8
113,Наука о данных. Базовый курс,2022,6 417,Альпина Паблишер,4.0
114,Сильный искусственный интеллект,2021,7 230,Альпина Паблишер,5.0
115,Масштабированный скрам,2023,12 103,"Альпина Паблишер, Гибкие методы управления",3.9
116,Глубокое обучение на Python,2018,9 559,"Питер, Библиотека программиста",4.1
117,Микросервисы. Паттерны разработки и рефакторинга,2022,11 572,"Питер, Библиотека программиста",4.9
118,Изучаем C++ через программирование игр,2022,7 708,"Питер, Библиотека программиста",4.0
119,Python. Экспресс-курс,2020,11 186,"Питер, Библиотека программиста",3.6
120,Экстремальное программирование,2023,6 558,"Питер, Библиотека программиста",3.7
